row	language	stars	forks	issues	watchers	license	lines	score
750	HTML/CSS	5911	1093	0	0	MIT License	1053267	0.4234363767074047
751	HTML/CSS	38325	1544	0	51	MIT License	1044486	0.46297627606038816
752	SQL	13400	0	1896	150	GNU General Public License v2.0	3433855	0.774982027318476
753	PHP	0	7872	1776	0	MIT License	3467766	0.5506829618979152
754	Python	0	0	0	166	GNU General Public License v3.0	1496718	0.2760603882099209
755	Python	0	8244	0	195	BSD 3-Clause 'New' or 'Revised' License	968499	0.6362329259525521
756	VBA	30074	988	0	0	MIT License	401625	0.4169662113587347
757	Python	10905	1155	0	310	MIT License	917565	0.20057512580877065
758	HTML/CSS	0	2952	814	0	Apache License 2.0	141341	0.6139468008626888
759	SQL	30625	926	423	471	GNU General Public License v2.0	900467	0.6858375269590222
760	C++	0	2595	389	222	MIT License	2070782	0.586628324946082
761	VBA	41079	7723	1179	104	GNU Affero General Public License v3.0	1528206	0.5298346513299784
762	TypeScript	6957	8199	0	141	MIT License	748445	0.46225736879942486
763	C++	4423	0	0	0	GNU General Public License v2.0	945508	0.6786484543493889
764	SQL	0	6199	0	219	BSD 3-Clause 'New' or 'Revised' License	508087	0.8015815959741194
765	JavaScript	9320	1062	201	0	MIT License	146476	0.5355859094176851
766	JavaScript	10328	0	0	179	MIT License	1353330	0.26887131560028754
767	Rust	1446	0	0	0	MIT License	1586515	0.4464414090582315
768	HTML/CSS	20727	0	191	308	Apache License 2.0	1552028	0.6139468008626888
769	C#	4730	0	432	0	MIT License	733604	0.5003594536304816
770	Rust	15255	2422	1172	0	MIT License	2146489	0.27677929547088426
771	Java	0	4492	0	237	MIT License	1013441	0.7498202731847591
772	C#	28619	1271	598	62	MIT License	244215	0.4399712437095615
773	JavaScript	15996	961	0	0	MIT License	900471	0.672178289000719
774	Ruby	25738	0	0	29	Apache License 2.0	75310	0.4730409777138748
775	JavaScript	34389	9426	0	0	GNU Lesser General Public License v3.0	909059	0.8224299065420559
776	C++	0	12715	0	57	MIT License	845090	0.6276060388209921
777	TypeScript	1241	3379	0	0	MIT No Attribution	424027	0.40546369518332137
778	JavaScript	0	286	250	0	MIT License	937612	0.39611790079079795
779	R	30864	0	612	40	MIT License	950407	0.5895039539899354
780	SQL	3228	0	0	0	MIT No Attribution	27887	0.49388928828181167
781	JavaScript	37752	8004	0	345	MIT License	336477	0.7972681524083393
782	Java	0	9628	0	228	GNU General Public License v3.0	279412	0.7375988497483824
783	Java	0	0	2250	149	GNU General Public License v3.0	4889217	0.6793673616103523
784	Scala	4337	1432	574	0	MIT License	1975855	0.5190510424155284
785	HTML/CSS	52401	4393	206	179	BSD 3-Clause 'New' or 'Revised' License	540387	0.8404025880661394
786	VBA	47619	0	2293	330	BSD 3-Clause 'New' or 'Revised' License	6036902	0.5751258087706687
787	SQL	39742	1971	0	0	Apache License 2.0	208591	0.42559309849029475
788	Swift	42525	0	0	0	MIT License	523229	0.45794392523364486
789	Java	0	0	1607	185	BSD 3-Clause 'New' or 'Revised' License	3837702	0.5262401150251618
790	HTML/CSS	0	264	0	0	BSD 3-Clause 'New' or 'Revised' License	99927	0.15600287562904383
791	Kotlin	45771	0	121	0	MIT License	162983	0.6010064701653487
792	SQL	3867	1182	280	0	MIT License	383054	0.8461538461538461
793	Java	19270	0	0	0	Apache License 2.0	358991	0.5262401150251618
794	Python	15183	0	157	0	MIT License	694404	0
795	Python	30401	7858	1032	140	MIT License	1146061	0.7318475916606758
796	TypeScript	7413	0	381	0	MIT License	1060597	0.5794392523364487
797	C#	23705	0	0	0	GNU Lesser General Public License v3.0	640491	0.3817397555715312
798	C	0	2603	963	276	GNU General Public License v3.0	970578	0.7512580877066858
799	R	33671	1868	0	0	Apache License 2.0	846028	0.38605319913731123
800	Rust	0	0	0	0	Apache License 2.0	97485	0.47160316319194817
801	C	35657	0	0	0	MIT License	1256951	0.48957584471603166
802	Rust	24758	6096	0	42	GNU General Public License v2.0	886663	0.689432063263839
803	Ruby	16382	0	1258	40	MIT License	1619081	0.16894320632638388
804	HTML/CSS	30996	2360	0	0	GNU General Public License v2.0	2007130	0.48526240115025165
805	Ruby	24452	2244	817	0	Apache License 2.0	27917	0.4040258806613947
806	R	0	0	217	0	MIT License	2223079	0.44787922358015814
807	C#	2708	1162	0	175	MIT License	782886	0.629762760603882
808	Kotlin	0	2240	486	0	GNU General Public License v3.0	1501979	0.37167505391804456
809	Go	14189	4371	1013	46	GNU General Public License v2.0	53801	0.6664270309130123
810	PHP	0	988	756	0	GNU General Public License v2.0	757639	0.6168224299065421
811	Python	0	131	0	0	MIT License	88529	0.4917325664989216
812	C++	29563	392	0	0	GNU General Public License v2.0	1544775	0.5104241552839683
813	Swift	30023	2856	0	89	GNU General Public License v3.0	175814	0.5600287562904385
814	R	10464	5500	0	431	MIT License	590333	0.5204888569374551
815	TypeScript	0	0	225	0	BSD 3-Clause 'New' or 'Revised' License	1552943	0.5190510424155284
816	JavaScript	10707	559	632	137	BSD 2-Clause 'Simplified' License	1733082	0.9489575844716032
817	HTML/CSS	20619	0	0	171	MIT License	1924877	0.48526240115025165
818	Objective-C	19871	0	0	204	MIT License	504125	0.719626168224299
819	TypeScript	2090	0	689	594	GNU General Public License v3.0	307512	0.685118619698059
820	PHP	19518	4339	482	62	MIT License	104495	1
821	HTML/CSS	0	509	0	14	MIT License	1066182	0.4335010783608914
822	Go	1822	2054	814	101	GNU General Public License v3.0	580000	0.4212796549245147
823	JavaScript	478	0	1479	323	MIT License	3005767	0.7318475916606758
824	C#	11558	6348	0	17	MIT License	557881	0.492451473759885
825	C#	10059	3681	0	0	MIT License	1353887	0.48310567936736154
826	Python	9467	1767	0	409	MIT License	355810	0.6376707404744788
827	TypeScript	15017	0	0	0	MIT License	1037648	0.3637670740474479
828	PHP	21059	0	0	0	MIT License	11611	0.49892163910855497
829	Python	31110	4150	254	13	MIT License	864815	0.5463695183321352
830	Python	3591	962	375	235	MIT License	181980	0.5341480948957584
831	Python	0	734	1396	299	MIT License	1306315	0.6527677929547088
832	Python	0	0	1043	0	GNU General Public License v2.0	1017845	0.4982027318475917
833	Java	19203	0	502	0	MIT License	1569974	0.5672178289000719
834	SQL	10066	0	1273	0	MIT License	1352870	0.6542056074766355
835	Java	2657	0	0	0	Apache License 2.0	193846	0.04169662113587347
836	Kotlin	0	237	0	24	MIT License	1278196	0.45794392523364486
837	TypeScript	3759	159	0	315	Apache License 2.0	1626282	0.3723939611790079
838	C#	4137	0	1538	112	MIT License	2032942	0.6592379583033788
839	HTML/CSS	8886	9046	32	79	MIT License	761136	0.5298346513299784
840	Ruby	802	3500	0	0	MIT License	2340274	0.5068296189791517
841	HTML/CSS	13046	1886	947	307	Apache License 2.0	613940	0.6685837526959022
842	SQL	23446	1022	0	0	Apache License 2.0	10067	0.5887850467289719
843	Java	30559	0	1637	0	BSD 2-Clause 'Simplified' License	1889349	0.7260963335729691
844	TypeScript	0	3140	1079	403	MIT License	156653	0.6484543493889288
845	JavaScript	0	380	0	0	GNU General Public License v3.0	561022	0.5125808770668584
846	Rust	5029	2441	13	179	BSD 3-Clause 'New' or 'Revised' License	1480074	0.5420560747663551
847	Java	4238	0	945	0	MIT License	823693	0.39611790079079795
848	JavaScript	0	0	0	159	MIT License	738239	0.3889288281811646
849	Objective-C	0	5525	120	0	GNU Affero General Public License v3.0	2234747	0.5032350826743349
850	JavaScript	7620	0	487	0	BSD 3-Clause 'New' or 'Revised' License	419832	0.43206326383896476
851	SQL	0	2959	1016	0	Apache License 2.0	884471	0.45147375988497485
852	Ruby	1929	0	416	78	BSD 3-Clause 'New' or 'Revised' License	699406	0.5686556434219985
853	JavaScript	21126	0	0	16	MIT License	829396	0.43421998562185476
854	Kotlin	30018	4308	607	219	MIT License	88777	0.7807332854061827
855	HTML/CSS	24458	2563	0	0	Apache License 2.0	152628	0.700215672178289
856	Ruby	0	2388	0	364	MIT License	905444	0.6513299784327821
857	C#	34547	4947	1942	38	Apache License 2.0	4239751	0.8921639108554995
858	MATLAB	7738	0	865	197	BSD 2-Clause 'Simplified' License	450207	0.6161035226455787
859	C#	25845	0	255	40	MIT License	1174756	0.7656362329259525
860	TypeScript	38436	0	0	34	MIT License	128266	0.40977713874910143
861	C	27594	0	1213	373	MIT License	2109310	0.5398993529834651
862	JavaScript	14771	0	0	172	MIT License	332138	0.6189791516894321
863	C#	18206	0	0	163	Apache License 2.0	954405	0.5406182602444285
864	TypeScript	32575	4428	0	230	MIT License	402671	0.6714593817397555
865	Python	0	0	0	0	MIT License	915053	0.23292595255212079
866	Java	21801	1715	1765	361	MIT License	1631090	0.6232925952552121
867	SQL	0	0	249	27	Mozilla Public License 2.0	1935920	0.6182602444284686
868	MATLAB	0	0	0	24	GNU General Public License v3.0	293610	0.3306973400431344
869	SQL	0	0	1240	161	MIT License	1607925	0.8289000718907261
870	SQL	20025	994	0	290	MIT License	94632	0.5506829618979152
871	JavaScript	24365	9921	2242	31	GNU General Public License v3.0	5290164	0.5607476635514019
872	MATLAB	16094	5414	0	0	MIT License	2049352	0.30697340043134436
873	SQL	30768	0	632	593	MIT License	2012017	0.5276779295470884
874	C#	0	0	405	183	BSD 3-Clause 'New' or 'Revised' License	422229	0.5319913731128685
875	C#	5571	943	0	0	Apache License 2.0	405060	0.6757728253055355
876	Python	0	0	356	3	MIT License	412024	0.22358015815959742
877	SQL	20296	4734	316	95	MIT License	1013147	0.766355140186916
878	C#	19229	577	1126	0	Apache License 2.0	2669813	0.6513299784327821
879	VBA	2225	3848	1123	38	Creative Commons Zero v1.0 Universal	1152034	0.4414090582314881
880	MATLAB	37099	473	0	0	Apache License 2.0	268718	0.3537023723939612
881	Java	0	362	0	0	MIT License	308110	0.6649892163910855
882	Java	1971	0	0	331	Apache License 2.0	1322747	0.7074047447879224
883	Python	0	0	78	54	MIT License	1234725	0.40258806613946807
884	JavaScript	6729	1016	0	0	BSD 3-Clause 'New' or 'Revised' License	1138235	0.41409058231488144
885	R	28255	0	0	0	MIT License	1780676	0.4406901509705248
886	C++	0	0	0	0	BSD 2-Clause 'Simplified' License	256492	0.44572250179726813
887	Ruby	40222	9000	969	70	MIT License	1384834	0.7958303378864127
888	HTML/CSS	0	3844	111	241	MIT License	956372	0.4680086268871316
889	Python	0	3282	0	363	MIT License	119897	0.5478073328540618
890	HTML/CSS	0	2231	784	0	Apache License 2.0	448945	0.8001437814521927
891	Objective-C	0	3983	517	141	BSD 3-Clause 'New' or 'Revised' License	243975	0.5830337886412652
892	C#	0	2375	871	90	MIT License	334674	0.4184040258806614
893	SQL	0	5237	0	210	GNU General Public License v3.0	6229	0.4694464414090582
894	SQL	23966	0	100	143	BSD 3-Clause 'New' or 'Revised' License	432373	0.8209920920201293
895	C#	55254	442	0	0	MIT License	668941	0.7483824586628325
896	R	26425	5557	1897	0	MIT License	5057959	0.4464414090582315
897	C++	4657	0	1232	0	MIT License	611590	0.6125089863407621
898	SQL	28103	0	0	0	MIT License	346695	0.6067577282530554
899	SQL	0	2719	0	61	MIT License	873660	0.2717469446441409
900	Python	22814	0	0	90	BSD 3-Clause 'New' or 'Revised' License	240070	0.552839683680805
901	TypeScript	21706	5415	541	0	GNU General Public License v3.0	286723	0.5003594536304816
902	Python	0	681	835	334	MIT License	1538735	0.5082674335010783
903	Swift	0	4178	1033	431	BSD 3-Clause 'New' or 'Revised' License	2857546	0.6175413371675054
904	TypeScript	14389	454	35	0	MIT License	568183	0.6570812365204888
905	TypeScript	2074	5184	640	0	GNU Lesser General Public License v3.0	1382325	0.39611790079079795
906	HTML/CSS	0	0	748	0	Apache License 2.0	457538	0.4291876347951114
907	C#	25526	0	0	63	MIT License	1655050	0.5830337886412652
908	JavaScript	7159	0	951	325	MIT License	1294055	0.7505391804457225
909	C#	35179	0	2089	191	MIT License	4244504	0.7426312005751258
910	JavaScript	0	1526	1285	0	MIT License	1348167	0.6455787203450755
911	SQL	0	0	201	69	BSD 2-Clause 'Simplified' License	479083	0.4910136592379583
912	C#	39661	0	1091	0	MIT License	1473462	0.719626168224299
913	JavaScript	115	5902	0	0	GNU Lesser General Public License v3.0	768490	0.6513299784327821
914	SQL	25184	0	0	140	MIT No Attribution	400161	0.5478073328540618
915	Go	25077	652	1003	124	BSD 3-Clause 'New' or 'Revised' License	1354616	0.552839683680805
916	TypeScript	12106	1637	930	0	GNU General Public License v2.0	744908	0.41409058231488144
917	TypeScript	14499	0	1585	91	GNU General Public License v3.0	3556296	0.5204888569374551
918	R	32884	0	769	0	MIT License	514881	0.578001437814522
919	C#	4946	3387	0	0	Mozilla Public License 2.0	137799	0.46153846153846145
920	PHP	0	0	0	571	GNU General Public License v3.0	1137060	0.5808770668583753
921	Java	20622	0	0	217	MIT License	2128028	0.44787922358015814
922	Java	0	0	0	0	Apache License 2.0	418088	0.4234363767074047
923	Python	16728	3168	55	131	MIT License	886724	0.4687275341480948
924	Kotlin	5129	0	0	20	Apache License 2.0	908696	0.35873472322070454
925	C#	9999	0	238	0	BSD 3-Clause 'New' or 'Revised' License	1650255	0.4191229331416247
926	Java	9165	0	1060	0	MIT License	1131933	0.5988497483824586
927	TypeScript	26903	5793	690	0	GNU General Public License v3.0	2157382	0.5851905104241553
928	PHP	1097	3324	0	0	MIT License	182721	0.8353702372393961
929	VBA	0	0	402	0	MIT License	216318	0.23292595255212079
930	TypeScript	25294	1501	1349	262	GNU General Public License v3.0	1375999	0.5255212077641984
931	Python	32876	3118	0	244	BSD 3-Clause 'New' or 'Revised' License	753894	0.6959022286125089
932	Go	20369	1321	0	0	MIT License	324255	0.5298346513299784
933	Objective-C	19521	1049	0	0	MIT License	478236	0.39180445722501794
934	PHP	32002	0	203	12	BSD 3-Clause 'New' or 'Revised' License	690101	0.5794392523364487
935	C#	2402	0	0	0	MIT License	436027	0.47879223580158153
936	HTML/CSS	27315	0	446	115	MIT License	224350	0.7627606038820992
937	Python	30733	2982	0	0	Apache License 2.0	107009	0.5032350826743349
938	SQL	9998	8126	513	0	MIT License	2218876	0.3788641265276779
939	Scala	27936	6429	0	0	Apache License 2.0	1242566	0.8483105679367361
940	JavaScript	1054	3372	640	238	MIT License	263490	0.7634795111430626
941	SQL	0	0	168	87	MIT License	651853	0.44356578001437813
942	SQL	72	2589	0	189	MIT License	48048	0.5341480948957584
943	C++	0	8385	0	41	MIT License	228252	0.5269590222861251
944	C#	23729	1806	1830	46	MIT License	3736667	0.5693745506829619
945	JavaScript	0	1766	875	0	MIT License	1736866	0.8770668583752695
946	Python	0	5573	0	51	MIT License	997916	0.4902947519769949
947	C#	23114	2501	529	211	BSD 3-Clause 'New' or 'Revised' License	97098	0.7311286843997123
948	SQL	33471	7204	0	207	MIT License	1500005	0.8375269590222861
949	Java	24949	0	252	0	GNU General Public License v2.0	1608099	0.5650611071171819
950	Python	11106	0	1453	139	MIT License	2046923	0.7713874910136592
951	Objective-C	0	6944	0	0	GNU General Public License v3.0	440218	0.5535585909417685
952	Rust	12774	3791	115	0	BSD 3-Clause 'New' or 'Revised' License	349786	0.5168943206326384
953	Kotlin	46143	1044	0	93	GNU General Public License v2.0	516879	0.45938173975557156
954	Rust	0	0	380	0	Apache License 2.0	1444085	0.3450754852624011
955	Objective-C	7512	0	1786	0	MIT License	3903995	0.578001437814522
956	Java	0	5254	0	11	Apache License 2.0	2005628	0.40043134435657796
957	SQL	0	4561	43	0	Apache License 2.0	436426	0.7843278217109992
958	Java	20098	8496	343	76	BSD 3-Clause 'New' or 'Revised' License	1070440	0.5032350826743349
959	Ruby	0	1259	0	289	MIT License	1460593	0.3342918763479511
960	C++	9392	4057	455	230	Apache License 2.0	945047	0.4910136592379583
961	JavaScript	0	0	575	52	MIT License	1736223	0.4687275341480948
962	R	43485	0	2067	0	BSD 3-Clause 'New' or 'Revised' License	4853582	0.5463695183321352
963	Scala	3622	1635	318	22	GNU General Public License v2.0	2451990	0.4996405463695184
964	TypeScript	0	6577	850	0	BSD 3-Clause 'New' or 'Revised' License	247116	0.5291157440690151
965	C++	32326	0	1914	190	MIT License	5172476	0.5248023005032351
966	HTML/CSS	34256	0	664	318	GNU General Public License v3.0	1039593	0.7433501078360891
967	Python	1062	7646	0	48	MIT License	466874	0.505391804457225
968	C	13848	1619	0	0	MIT License	2771436	0.4104960460100647
969	SQL	16036	0	1860	0	GNU Lesser General Public License v3.0	4231288	0.5233644859813084
970	Python	0	0	0	0	MIT License	308954	0.39468008626887124
971	SQL	0	5962	0	0	GNU General Public License v3.0	557532	0.6657081236520488
972	Java	5703	0	228	213	MIT License	229545	0.4083393242271747
973	Python	0	1071	0	28	Apache License 2.0	368777	0.36161035226455784
974	SQL	22283	1097	39	0	Apache License 2.0	331961	0.6477354421279655
975	JavaScript	0	0	1714	44	MIT License	2819491	0.3544212796549245
976	C#	4326	845	386	76	MIT License	219069	0.4212796549245147
977	TypeScript	29485	4555	0	0	GNU General Public License v2.0	1843509	0.8080517613227892
978	TypeScript	17689	3218	0	146	Apache License 2.0	1039124	0.5197699496764917
979	SQL	18377	5862	373	19	Apache License 2.0	197200	0.7685118619698058
980	Python	17048	2616	1097	379	MIT License	2013352	0.698058950395399
981	C#	3348	0	490	0	MIT License	139726	0.7562904385334293
982	Go	43179	0	0	182	MIT License	867494	0.5708123652048885
983	Java	5720	5753	0	6	Apache License 2.0	2420580	0.45147375988497485
984	PHP	0	0	625	301	MIT License	360375	0.3767074047447879
985	JavaScript	0	0	866	0	Apache License 2.0	2363055	0.7225017972681523
986	Java	0	0	1836	0	MIT License	3523574	0.4313443565780014
987	TypeScript	15320	5973	179	53	MIT License	505821	0.5837526959022287
988	Java	16577	0	596	0	GNU General Public License v3.0	721918	0.3874910136592379
989	Kotlin	22083	570	1009	0	MIT No Attribution	1950484	0.2818116462976276
990	JavaScript	19119	0	980	0	MIT License	1577228	0.5449317038102085
991	C#	17006	0	33	0	MIT License	1834049	0.8461538461538461
992	TypeScript	35434	2517	181	0	MIT License	2118447	0.5319913731128685
993	Rust	0	0	0	97	MIT License	2263030	0.5974119338605319
994	Python	0	2213	0	183	Apache License 2.0	1009237	0.4349388928828181
995	C	0	0	0	198	Apache License 2.0	441687	0.5916606757728252
996	C++	17534	1397	0	465	Apache License 2.0	719861	0.6312005751258087
997	VBA	0	0	1213	0	MIT License	1141584	0.5679367361610352
998	TypeScript	0	9448	2327	297	GNU General Public License v3.0	6706200	0.6671459381739755
999	TypeScript	0	0	694	0	GNU General Public License v3.0	914738	0.5154565061107117
1000	Ruby	0	1945	702	158	GNU General Public License v3.0	658077	0.6225736879942486
